val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,rec,tag
0.297255,40.7,0.298255,0.002247,0.405631,19.7,0.424006,0.004493,0.296317,63.6,0.307192,0.054769,0.318692,149,0.274879,0.027736,66.3,5.3,2019-02-02T20:03:48Z,scs-bgx-431
0.297442,41.4,0.298255,0.002435,0.405819,19.7,0.424006,0.004488,0.29888,70.7,0.307255,0.057661,0.31938,152.1,0.274754,0.028469,66.3,5.3,2019-02-02T20:03:58Z,scs-bgx-431
0.298067,43.9,0.298192,0.003148,0.406506,19.7,0.424006,0.004488,0.302692,80.2,0.307255,0.061474,0.319942,154.7,0.274629,0.029077,66.3,5.3,2019-02-02T20:04:08Z,scs-bgx-431
0.298817,46.4,0.298192,0.003898,0.406631,18.1,0.424006,0.003926,0.304317,82.6,0.30713,0.06244,0.320005,154.8,0.274754,0.029094,66.4,5.3,2019-02-02T20:04:18Z,scs-bgx-431
0.298317,44.7,0.298192,0.003398,0.406194,18.2,0.424006,0.003956,0.301567,77.4,0.307255,0.060349,0.318942,150.1,0.274879,0.027986,66.3,5.3,2019-02-02T20:04:28Z,scs-bgx-431
0.298005,43.9,0.29813,0.003174,0.406256,19.3,0.424131,0.004366,0.300567,74.1,0.307192,0.059019,0.318317,147.7,0.274692,0.02743,66.3,5.3,2019-02-02T20:04:38Z,scs-bgx-431
0.29763,42.7,0.29813,0.002799,0.406006,19.4,0.424069,0.004382,0.298755,70.4,0.307255,0.057536,0.31863,149.4,0.274442,0.027833,66.3,5.3,2019-02-02T20:04:48Z,scs-bgx-431
0.297942,43.1,0.298255,0.002935,0.405819,18.5,0.424069,0.004085,0.301255,74.2,0.307067,0.059048,0.319067,151.1,0.274567,0.028225,66.3,5.3,2019-02-02T20:04:58Z,scs-bgx-431
0.298255,44.5,0.298192,0.003335,0.405881,17.6,0.424069,0.003762,0.303442,82.8,0.307317,0.062553,0.31888,150.3,0.274567,0.028038,66.4,5.3,2019-02-02T20:05:08Z,scs-bgx-431
0.298505,45.1,0.298255,0.003497,0.405756,16.8,0.424069,0.003472,0.302505,82.1,0.307442,0.062274,0.31838,148.3,0.274504,0.02756,66.4,5.3,2019-02-02T20:05:18Z,scs-bgx-431
0.298567,45.6,0.298192,0.003648,0.405694,16.2,0.424069,0.003272,0.30038,74.4,0.307255,0.059161,0.318317,146.8,0.275317,0.027202,66.4,5.3,2019-02-02T20:05:28Z,scs-bgx-431
0.298755,45.9,0.298255,0.003747,0.405569,15.5,0.424006,0.003001,0.300567,73.3,0.30713,0.05869,0.318567,148.5,0.274879,0.027611,66.4,5.3,2019-02-02T20:05:38Z,scs-bgx-431
0.29863,45.8,0.298192,0.00371,0.405694,16.5,0.424194,0.003345,0.29988,74,0.307317,0.05899,0.318567,148,0.275192,0.027498,66.4,5.3,2019-02-02T20:05:48Z,scs-bgx-431
0.298505,45.4,0.298192,0.003585,0.405819,16.8,0.424069,0.003452,0.29913,69.7,0.30713,0.057252,0.318692,149.5,0.274567,0.02785,66.5,5.3,2019-02-02T20:05:58Z,scs-bgx-431
0.29863,45.8,0.298192,0.00371,0.406006,17.2,0.424131,0.003594,0.299255,71.7,0.307255,0.058036,0.318505,148.1,0.274942,0.027526,66.5,5.3,2019-02-02T20:06:08Z,scs-bgx-431
0.29863,45.5,0.298255,0.003622,0.406194,17.7,0.424069,0.0038,0.299567,71.6,0.307192,0.058019,0.317755,145.5,0.274567,0.026913,66.6,5.3,2019-02-02T20:06:18Z,scs-bgx-431
0.298442,45.1,0.298192,0.003523,0.405944,17.3,0.424069,0.00366,0.299817,73,0.307255,0.058599,0.318005,146.2,0.274817,0.027072,66.6,5.3,2019-02-02T20:06:28Z,scs-bgx-431
0.29788,42.9,0.298255,0.002872,0.405756,18.3,0.424006,0.004013,0.29838,71.9,0.307442,0.058149,0.318067,146.3,0.274942,0.027089,66.5,5.3,2019-02-02T20:06:38Z,scs-bgx-431
0.29763,42,0.298255,0.002622,0.405694,18.9,0.424006,0.004198,0.29763,70.1,0.307442,0.057399,0.318255,146.2,0.275504,0.027071,66.5,5.3,2019-02-02T20:06:48Z,scs-bgx-431
0.29763,42,0.298255,0.002622,0.405819,19.2,0.424006,0.004323,0.29713,67.2,0.307317,0.05624,0.319317,150.5,0.275629,0.028088,66.5,5.3,2019-02-02T20:06:58Z,scs-bgx-431
0.29788,43.2,0.298192,0.00296,0.405944,18.6,0.424006,0.004118,0.29738,67,0.307255,0.056161,0.318255,147.4,0.274754,0.027344,66.5,5.3,2019-02-02T20:07:08Z,scs-bgx-431
0.29838,44.6,0.298255,0.003372,0.406006,17.9,0.424069,0.00386,0.297817,66.5,0.30713,0.05594,0.317692,144.2,0.275254,0.0266,66.6,5.3,2019-02-02T20:07:18Z,scs-bgx-431
0.29863,45.8,0.298192,0.00371,0.406069,17.3,0.424131,0.003656,0.299255,70.8,0.307192,0.057707,0.317567,143.7,0.275254,0.026475,66.6,5.3,2019-02-02T20:07:28Z,scs-bgx-431
0.298942,46.9,0.298192,0.004023,0.406069,16.5,0.424131,0.003354,0.300567,77.3,0.307442,0.060337,0.317755,144.7,0.275129,0.026708,66.6,5.3,2019-02-02T20:07:38Z,scs-bgx-431
0.299005,47.1,0.298192,0.004085,0.406131,16.3,0.424069,0.003297,0.300192,75.6,0.30738,0.059632,0.318317,147,0.275129,0.02727,66.6,5.3,2019-02-02T20:07:48Z,scs-bgx-431
0.299005,46.8,0.298255,0.003997,0.406194,16.5,0.424006,0.003378,0.298817,70.6,0.307255,0.057599,0.318442,147.8,0.275004,0.027441,66.6,5.3,2019-02-02T20:07:58Z,scs-bgx-431
0.298755,45.6,0.298317,0.003659,0.406256,17.8,0.424069,0.003835,0.299192,70.7,0.307192,0.057644,0.319317,151.7,0.274879,0.028361,66.6,5.3,2019-02-02T20:08:08Z,scs-bgx-431
0.297942,43.1,0.298255,0.002935,0.405881,18.4,0.423944,0.004019,0.298005,68.6,0.307255,0.056786,0.31888,149.8,0.274879,0.027924,66.6,5.3,2019-02-02T20:08:18Z,scs-bgx-431
0.297505,41.3,0.298317,0.002409,0.405756,19.6,0.424006,0.004453,0.29688,66.6,0.307317,0.05599,0.319817,153,0.275379,0.028679,66.6,5.3,2019-02-02T20:08:28Z,scs-bgx-431
0.297255,41.1,0.298192,0.002335,0.405694,19.7,0.424069,0.00451,0.296255,63.4,0.307192,0.054707,0.319505,152.7,0.274754,0.028594,66.6,5.3,2019-02-02T20:08:38Z,scs-bgx-431
0.296942,40,0.298192,0.002023,0.405631,20.4,0.424069,0.00475,0.296317,64.4,0.307255,0.055098,0.319567,151.9,0.275442,0.028407,66.5,5.3,2019-02-02T20:08:48Z,scs-bgx-431
0.296942,40,0.298192,0.002023,0.405756,20.6,0.424006,0.004811,0.296817,63.2,0.307067,0.05461,0.319942,153.8,0.275254,0.02885,66.4,5.3,2019-02-02T20:08:58Z,scs-bgx-431
0.297192,40.8,0.298192,0.002273,0.405819,20.1,0.424006,0.004653,0.297692,68.6,0.307317,0.056803,0.319442,152.8,0.274504,0.028623,66.4,5.3,2019-02-02T20:09:08Z,scs-bgx-431
0.297442,42,0.29813,0.002611,0.405819,19.2,0.424006,0.004323,0.298067,69.5,0.307317,0.057178,0.318442,148.5,0.274504,0.027623,66.4,5.3,2019-02-02T20:09:18Z,scs-bgx-431
0.297755,42.8,0.298192,0.002835,0.405756,18.6,0.424069,0.004105,0.29838,69.5,0.307255,0.057161,0.317567,144.1,0.274942,0.026589,66.4,5.3,2019-02-02T20:09:28Z,scs-bgx-431
0.297755,43.1,0.29813,0.002924,0.405756,18.4,0.424069,0.004022,0.298317,69.3,0.307255,0.057099,0.31813,146.5,0.274942,0.027151,66.5,5.3,2019-02-02T20:09:38Z,scs-bgx-431
0.297942,43.1,0.298255,0.002935,0.405819,18.5,0.424069,0.004085,0.298005,67.7,0.307192,0.056457,0.319442,152.4,0.274754,0.028532,66.5,5.3,2019-02-02T20:09:48Z,scs-bgx-431
