val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,rec,tag
0.29963,-4.7,0.29663,-0.001209,0.399131,18.8,0.401944,0.00567,0.31088,80.2,0.312442,0.03088,0.51157,471.1,0.202253,0.135219,62.4,24,2018-09-03T00:04:30.069+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399194,19,0.401944,0.005733,0.310817,80,0.31238,0.030817,0.511133,466.9,0.201566,0.133998,62.4,24,2018-09-03T00:04:40.080+00:00,scs-bgb-413
0.29963,-4.3,0.296567,-0.001094,0.399194,18.7,0.401944,0.005637,0.310755,79.9,0.31238,0.030755,0.51207,473.6,0.202441,0.135933,62.4,24,2018-09-03T00:04:50.074+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399256,19,0.401944,0.005747,0.31063,79.6,0.312317,0.03063,0.51232,478.2,0.203378,0.137251,62.3,24,2018-09-03T00:05:00.074+00:00,scs-bgb-413
0.299755,-4.2,0.29663,-0.001084,0.399194,18.6,0.401944,0.005613,0.310755,79.9,0.312567,0.030755,0.512258,475,0.202628,0.136334,62.4,24,2018-09-03T00:05:10.073+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399256,19,0.401944,0.005747,0.310817,80,0.312442,0.030817,0.511883,473.7,0.202628,0.135959,62.4,24,2018-09-03T00:05:20.068+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399131,18.1,0.401881,0.005462,0.310942,80.4,0.312505,0.030942,0.512008,473.4,0.202441,0.13587,62.4,24,2018-09-03T00:05:30.069+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399194,18.3,0.401881,0.005525,0.310755,79.9,0.31238,0.030755,0.511383,472.2,0.202691,0.13553,62.4,24,2018-09-03T00:05:40.080+00:00,scs-bgb-413
0.299817,-4.4,0.296692,-0.001136,0.399131,18,0.401881,0.005438,0.310817,80,0.312442,0.030817,0.51157,475.1,0.203253,0.136359,62.4,24,2018-09-03T00:05:50.069+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399131,18.6,0.401944,0.005622,0.310817,80,0.312442,0.030817,0.511383,475.5,0.203503,0.136456,62.4,24,2018-09-03T00:06:00.088+00:00,scs-bgb-413
0.299567,-4.5,0.296567,-0.001156,0.399194,18.3,0.401881,0.005525,0.310755,79.9,0.312317,0.030755,0.512258,478.5,0.203503,0.137331,62.4,24,2018-09-03T00:06:10.067+00:00,scs-bgb-413
0.299692,-4,0.296567,-0.001031,0.399131,18.2,0.401944,0.005503,0.310755,79.9,0.31238,0.030755,0.512445,474.7,0.202378,0.136236,62.4,24,2018-09-03T00:06:20.074+00:00,scs-bgb-413
0.299692,-4,0.296567,-0.001029,0.399194,18.4,0.401944,0.005552,0.310817,80,0.312442,0.030817,0.51282,474.6,0.201628,0.136215,62.4,23.9,2018-09-03T00:06:30.067+00:00,scs-bgb-413
0.299692,-4,0.296567,-0.001031,0.399194,18.4,0.401944,0.005565,0.310817,80,0.312442,0.030817,0.512195,472.8,0.202128,0.135701,62.4,24,2018-09-03T00:06:40.076+00:00,scs-bgb-413
0.299755,-4.2,0.29663,-0.001081,0.399131,17.8,0.401881,0.005378,0.310755,79.9,0.31238,0.030755,0.512508,475.5,0.202128,0.136469,62.4,23.9,2018-09-03T00:06:50.067+00:00,scs-bgb-413
0.299567,-4.9,0.29663,-0.001271,0.399194,19.1,0.401944,0.00578,0.31088,80.2,0.312442,0.03088,0.511508,469.4,0.201878,0.134729,62.4,24,2018-09-03T00:07:00.079+00:00,scs-bgb-413
0.29963,-5.2,0.296692,-0.001324,0.399194,19.4,0.401944,0.005852,0.310817,80,0.312505,0.030817,0.512133,471.9,0.201941,0.135425,62.4,24,2018-09-03T00:07:10.067+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399194,19.4,0.402006,0.005845,0.310692,79.7,0.31238,0.030692,0.51182,473.3,0.202566,0.135825,62.4,24,2018-09-03T00:07:20.068+00:00,scs-bgb-413
